date,regime,regime_label,prob_regime_0,prob_regime_1,prob_regime_2,prob_regime_3,prob_regime_4
2008-01-02,4,mixed_or_neutral_4,0.0,0.0,0.0,0.0,1.0
2008-01-03,4,mixed_or_neutral_4,3.775738533006918e-14,6.078332828869199e-09,1.6847030531185754e-10,0.0,0.9999999937535904
2008-01-04,4,mixed_or_neutral_4,6.593867056973027e-16,2.471200627260978e-10,5.067547531270766e-19,3.6796713600319e-18,0.9999999997526174
2008-01-07,4,mixed_or_neutral_4,4.688252030796167e-19,4.9291831457060026e-11,4.4844829844429135e-18,7.15590284907362e-22,0.9999999999508873
2008-01-08,4,mixed_or_neutral_4,1.4022199896602397e-25,3.351114672617762e-12,6.607387124503276e-26,4.578269975655266e-23,0.999999999996362
2008-01-09,4,mixed_or_neutral_4,7.468152839693145e-27,6.346165676218964e-14,2.099350778417952e-27,4.2588831469145075e-22,1.0
2008-01-10,4,mixed_or_neutral_4,5.227877612255584e-26,9.442094202371552e-14,1.608792418766754e-20,3.3264014995451413e-25,1.0
2008-01-11,4,mixed_or_neutral_4,4.997535806951797e-25,1.3165994850735833e-14,1.0063699513688103e-25,1.5662725362772736e-24,1.0
2008-01-14,4,mixed_or_neutral_4,3.5215252922566116e-30,2.696939373796321e-14,5.348623087051463e-26,4.384991686353776e-27,1.0
2008-01-15,4,mixed_or_neutral_4,7.289757498922265e-31,1.0960648714912948e-14,8.812350836508479e-36,4.334556231195196e-27,1.0
2008-01-16,4,mixed_or_neutral_4,2.0910349150871153e-30,3.0998243715712854e-15,2.996629507301431e-42,7.6904796938781815e-25,1.0
2008-01-17,4,mixed_or_neutral_4,4.246150271719568e-33,9.34837015493871e-15,5.376069421772707e-52,3.0212533564225455e-24,1.0
2008-01-18,4,mixed_or_neutral_4,8.054073391516844e-30,7.292112370365123e-18,2.0914005161455157e-56,2.375390554347859e-25,1.0
2008-01-22,4,mixed_or_neutral_4,1.6363007407003092e-31,1.2003271587430007e-15,1.7848098561553027e-59,1.5031177716864095e-23,1.0
2008-01-23,4,mixed_or_neutral_4,8.533247433673553e-30,4.8401735708974966e-15,5.1205837080639404e-48,1.327415476590728e-21,1.0
2008-01-24,4,mixed_or_neutral_4,1.178933025996029e-28,1.0235611363637644e-15,7.667675101444705e-42,4.357893091757602e-22,1.0
2008-01-25,4,mixed_or_neutral_4,2.162277097737304e-28,1.6011850546427957e-16,2.874776427847493e-45,2.8707411474823472e-24,1.0
2008-01-28,4,mixed_or_neutral_4,9.338027284149533e-30,2.801075292886396e-15,3.4440309710901067e-42,1.9424366578247974e-23,1.0
2008-01-29,4,mixed_or_neutral_4,3.7645336093366833e-31,3.034566694173416e-16,3.247563557923596e-39,2.446681498226961e-23,1.0
2008-01-30,4,mixed_or_neutral_4,1.0316654364193393e-29,2.6817209792897392e-17,3.3953620386393574e-39,2.3002188502828e-26,1.0
2008-01-31,4,mixed_or_neutral_4,8.178658135477252e-30,8.023041301272132e-17,2.089798663300708e-34,2.835690277897483e-26,1.0
2008-02-01,4,mixed_or_neutral_4,4.241693925360736e-29,4.04073961976696e-17,2.105895062258067e-29,3.97793496766837e-27,1.0
2008-02-04,4,mixed_or_neutral_4,4.0073950062181655e-31,3.119725278634917e-17,9.391818359558741e-34,1.0879537277728385e-27,1.0
2008-02-05,4,mixed_or_neutral_4,5.304901907783673e-33,6.775890081474348e-19,6.134112304634579e-49,1.364628554836994e-26,1.0
2008-02-06,4,mixed_or_neutral_4,1.717263003842617e-31,9.31378543186324e-18,6.320498848371364e-54,3.452469007933192e-28,1.0
2008-02-07,4,mixed_or_neutral_4,5.234174342658668e-32,1.1275893278836867e-17,7.939634429294754e-57,3.095410031821778e-29,1.0
2008-02-08,4,mixed_or_neutral_4,7.328249821867297e-32,4.434323850741283e-17,2.12815083236295e-56,1.6648292695841715e-27,1.0
2008-02-11,4,mixed_or_neutral_4,6.028982217602321e-32,3.719060240358391e-16,6.396025009472678e-54,1.1739122207677865e-25,1.0
2008-02-12,4,mixed_or_neutral_4,4.180069373398692e-31,2.7716446446988166e-15,1.3742265560037096e-50,1.803854622483187e-26,1.0
2008-02-13,4,mixed_or_neutral_4,6.737540703959162e-33,6.199327055113004e-15,7.768811465187057e-47,1.3995423155970757e-26,1.0
2008-02-14,4,mixed_or_neutral_4,4.421115050285939e-38,6.667324459251605e-17,1.6866757959919346e-52,1.1791774321992218e-27,1.0
2008-02-15,4,mixed_or_neutral_4,6.750811619648272e-35,6.021081403776902e-17,2.8665659879826322e-55,1.2895132952157846e-28,1.0
2008-02-19,4,mixed_or_neutral_4,1.2238064681438608e-32,1.7553784961916462e-15,1.316061489385187e-58,4.971041201864377e-27,1.0
2008-02-20,4,mixed_or_neutral_4,7.276258167044733e-36,2.664080877176063e-14,9.749158303351294e-62,4.7622864616003e-23,1.0
2008-02-21,4,mixed_or_neutral_4,2.9899890601019304e-34,1.7975700124591388e-13,2.133520874620748e-68,1.9597548886966e-24,1.0
2008-02-22,4,mixed_or_neutral_4,9.054269731889984e-38,7.992152402453714e-14,2.7306456205444786e-64,1.1562537635553124e-25,1.0
