date,n_components,train_start,train_end,train_observations,log_likelihood,converged,current_regime,current_regime_label,current_regime_probability,next_regime,next_regime_label,next_regime_probability,error,current_prob_regime_0,current_prob_regime_1,next_prob_regime_0,next_prob_regime_1
2010-12-31,2,2008-01-02,2010-12-31,757,129.30755096259085,True,1,risk_on,1.0,1,risk_on,0.9981382647905924,,1.2766099051367753e-101,1.0,0.0018617352094075735,0.9981382647905924
2011-01-31,2,2008-01-02,2011-01-31,777,173.5382993158864,True,1,risk_on,1.0,1,risk_on,0.9982035018065124,,5.804256847981252e-68,1.0,0.0017964981934876242,0.9982035018065124
2011-02-28,2,2008-01-02,2011-02-28,796,202.61377206672188,True,1,risk_on,1.0,1,risk_on,0.9982624607905453,,7.694504368256576e-65,1.0,0.0017375392094546825,0.9982624607905453
2011-03-31,2,2008-01-02,2011-03-31,819,157.9913200366728,True,1,risk_on,1.0,1,risk_on,0.9983302883469971,,1.2276451494877504e-61,1.0,0.0016697116530029143,0.9983302883469971
2011-04-29,2,2008-01-02,2011-04-29,839,145.34768066968383,True,1,risk_on,1.0,1,risk_on,0.9983843396912482,,3.298773351660278e-61,1.0,0.0016156603087517766,0.9983843396912482
2011-05-31,2,2008-01-02,2011-05-31,860,364.0618866108694,True,0,risk_on,1.0,0,risk_on,0.9965333217366071,,1.0,1.1672110189468524e-18,0.9965333217366071,0.003466678263392857
2011-06-30,2,2008-01-02,2011-06-30,882,317.3754168397134,True,0,risk_on,1.0,0,risk_on,0.9965863126450819,,1.0,1.4220747032052574e-26,0.9965863126450819,0.0034136873549180983
2011-07-29,2,2008-01-02,2011-07-29,902,280.5769733978095,True,0,risk_on,1.0,0,risk_on,0.9966988257130257,,1.0,1.0688706365940577e-21,0.9966988257130257,0.0033011742869744304
2011-08-31,2,2008-01-02,2011-08-31,925,158.99138158129642,True,1,defensive_risk_off,1.0,1,defensive_risk_off,0.9933585019616173,,1.1950604357598447e-18,1.0,0.0066414980383825185,0.9933585019616173
2011-09-30,2,2008-01-02,2011-09-30,946,-116.76201728191204,True,1,defensive_risk_off,1.0,1,defensive_risk_off,0.9938243278999129,,4.9609118037960514e-54,1.0,0.00617567210008714,0.9938243278999129
2011-10-31,2,2008-01-02,2011-10-31,967,-329.58580876606385,True,1,defensive_risk_off,0.9999999909317125,1,defensive_risk_off,0.9942018462976866,,9.068265677098384e-09,0.9999999909317125,0.0057981537022916,0.9942018462976866
2011-11-30,2,2008-01-02,2011-11-30,988,-569.5050194658917,True,1,defensive_risk_off,0.9999984136524139,1,defensive_risk_off,0.9918071650796724,,1.586347588726891e-06,0.9999984136524139,0.008192834920330311,0.9918071650796724
2011-12-30,2,2008-01-02,2011-12-30,1009,-756.862973600854,True,0,risk_on,0.9999998451653602,0,risk_on,0.9938994907116869,,0.9999998451653602,1.5483460360501963e-07,0.9938994907116869,0.006100509288276862
2012-01-31,2,2008-01-02,2012-01-31,1029,-811.4051288746015,True,1,risk_on,0.9999999999824922,1,risk_on,0.9972067110402036,,1.7471616942352037e-11,0.9999999999824922,0.0027932889597602206,0.9972067110402036
2012-02-29,2,2008-01-02,2012-02-29,1049,-966.5061845239575,True,0,risk_on,1.0,0,risk_on,0.995528033871802,,1.0,4.2795379346226875e-15,0.995528033871802,0.0044719661282022274
