date,n_components,train_start,train_end,train_observations,log_likelihood,converged,current_regime,current_regime_label,current_regime_probability,next_regime,next_regime_label,next_regime_probability,error,current_prob_regime_0,current_prob_regime_1,current_prob_regime_2,next_prob_regime_0,next_prob_regime_1,next_prob_regime_2
2010-12-31,3,2008-01-02,2010-12-31,757,2005.2045208351692,True,0,risk_on,1.0,0,risk_on,0.9954945075420761,,1.0,2.0144577207492772e-79,1.4982112550280848e-192,0.9954945075420761,0.004505492457923843,1.4274168572003956e-81
2011-01-31,3,2008-01-02,2011-01-31,777,2020.8388265135516,True,1,risk_on,1.0,1,risk_on,0.9945517764355126,,6.146314333756105e-184,1.0,6.981850441497948e-34,2.9225635386151095e-36,0.9945517764355126,0.005448223564487364
2011-02-28,3,2008-01-02,2011-02-28,796,2053.5750104812337,True,0,risk_on,1.0,0,risk_on,0.9937856326783681,,1.0,1.3753523510643012e-27,1.5205018384456676e-102,0.9937856326783681,0.0062143673216319886,9.738348506387486e-30
2011-03-31,3,2008-01-02,2011-03-31,819,1639.9374202387899,True,1,risk_on,1.0,1,risk_on,0.9982700280972099,,1.1906359141826773e-149,1.0,1.0682427592184343e-222,0.0017299719027901752,0.9982700280972099,1.725812785320629e-151
2011-04-29,3,2008-01-02,2011-04-29,839,2115.8516820373893,True,0,risk_on,1.0,0,risk_on,0.9940298165535666,,1.0,3.224166592414988e-26,4.338587889605105e-53,0.9940298165535666,0.005970183446433358,2.279023841801748e-28
2011-05-31,3,2008-01-02,2011-05-31,860,1702.12851726075,True,1,risk_on,1.0,1,risk_on,0.998328313661497,,4.0171827365531276e-91,1.0,9.209137730101097e-49,0.0016716863385029428,0.998328313661497,6.4864814089104065e-28
2011-06-30,3,2008-01-02,2011-06-30,882,1577.172028566001,True,1,risk_on,1.0,1,risk_on,0.9966426445893484,,5.621044775335504e-91,1.0,9.275810832935834e-29,0.0016786739701477166,0.9966426445893484,0.0016786814405038968
2011-07-29,3,2008-01-02,2011-07-29,902,1872.87429102284,True,1,risk_on,1.0,1,risk_on,0.9933623592421318,,8.782826080655979e-25,1.0,4.386889592900672e-60,0.004979091374194865,0.9933623592421318,0.001658549383673372
2011-08-31,3,2008-01-02,2011-08-31,925,2216.1712835636376,True,2,defensive_risk_off,1.0,2,defensive_risk_off,0.9930095840213031,,1.6216934179259905e-49,1.2413708065591954e-70,1.0,0.006990415978696865,1.5382969609984782e-51,0.9930095840213031
2011-09-30,3,2008-01-02,2011-09-30,946,2210.235045788055,True,1,defensive_risk_off,1.0,1,defensive_risk_off,0.9939791501416281,,3.623187181314408e-97,1.0,1.0407744462870141e-148,0.0030104285500861237,0.9939791501416281,0.0030104213082858093
2011-10-31,3,2008-01-02,2011-10-31,967,2008.6807659158674,True,1,inflation_rates_shock,1.0,1,inflation_rates_shock,0.9943327644242855,,1.8714888337450885e-31,1.0,2.0032239846574366e-193,0.002833622885669328,0.9943327644242855,0.002833612690045073
2011-11-30,3,2008-01-02,2011-11-30,988,1778.70469717918,True,2,inflation_rates_shock,1.0,2,inflation_rates_shock,0.9945928364906441,,2.92273176922514e-26,2.07918793726588e-142,1.0,0.0027035963223925653,0.002703567186963209,0.9945928364906441
2011-12-30,3,2008-01-02,2011-12-30,1009,1668.5476177266592,True,2,inflation_rates_shock,1.0,2,inflation_rates_shock,0.9949207492032218,,3.1517054843885793e-26,4.498459258606334e-169,1.0,0.0025396284505169327,0.0025396223462613157,0.9949207492032218
2012-01-31,3,2008-01-02,2012-01-31,1029,1501.6273354562657,True,1,inflation_rates_shock,1.0,1,inflation_rates_shock,0.9951657815077258,,5.70755386087988e-23,1.0,5.061665659421792e-226,0.002417110883681885,0.9951657815077258,0.0024171076085922998
2012-02-29,3,2008-01-02,2012-02-29,1049,1292.0376375277992,True,0,risk_on,1.0,0,risk_on,0.9965321167689735,,1.0,2.867021892686523e-258,9.19312424941139e-30,0.9965321167689735,3.0211905424416425e-32,0.0034678832310265943
2012-03-30,3,2008-01-02,2012-03-30,1071,1122.7188151623718,True,0,risk_on,1.0,0,risk_on,0.996656677116493,,1.0,6.271194599354983e-35,8.900623922173797e-269,0.996656677116493,0.003343322883506908,2.0574669957092206e-37
2012-04-30,3,2008-01-02,2012-04-30,1091,1065.3238359769932,True,0,risk_on,1.0,0,risk_on,0.9962357150271105,,1.0,1.6184023322842934e-280,4.360467561572176e-23,0.9962357150271105,1.1076199008718105e-25,0.003764284972889583
2012-05-31,3,2008-01-02,2012-05-31,1113,1180.8299233506202,True,2,inflation_rates_shock,1.0,2,inflation_rates_shock,0.995925785041473,,2.489564798550135e-118,1.240590948610445e-68,1.0,0.0020371067845108633,0.0020371081740161337,0.995925785041473
2012-06-29,3,2008-01-02,2012-06-29,1134,1047.6418447614183,True,1,inflation_rates_shock,1.0,1,inflation_rates_shock,0.9961491345732674,,9.205466097260372e-78,1.0,3.5283711092066408e-242,0.0019254353637587192,0.9961491345732674,0.001925430062973887
2012-07-31,3,2008-01-02,2012-07-31,1155,1079.9301764053669,True,1,risk_on,0.9999989859625796,1,risk_on,0.994948648232216,,1.0140375143035835e-06,0.9999989859625796,5.916926607981515e-44,0.0033679122499555643,0.994948648232216,0.0016834395179222746
2012-08-31,3,2008-01-02,2012-08-31,1178,671.6915386727039,True,2,inflation_rates_shock,1.0,2,inflation_rates_shock,0.9927818762831501,,5.707749804023478e-16,1.4689853070345456e-113,1.0,0.0048135229367551905,0.0024046007800953423,0.9927818762831501
2012-09-28,3,2008-01-02,2012-09-28,1197,1139.0860786522117,True,1,inflation_rates_shock,1.0,1,inflation_rates_shock,0.9909523723622947,,4.257486897990015e-24,1.0,1.245849226098948e-44,0.006786064012833933,0.9909523723622947,0.002261563624871344
2012-10-31,3,2008-01-02,2012-10-31,1218,721.3174279613262,True,1,inflation_rates_shock,1.0,1,inflation_rates_shock,0.9939046806699728,,3.4857094351315804e-56,1.0,2.171689301889166e-196,0.004063717275251133,0.9939046806699728,0.002031602054776083
2012-11-30,3,2008-01-02,2012-11-30,1239,752.0205360761403,True,1,inflation_rates_shock,1.0,1,inflation_rates_shock,0.9967952566163406,,7.971841027323094e-68,1.0,3.370839207636695e-262,0.0016023736889498623,0.9967952566163406,0.0016023696947095043
2012-12-31,3,2008-01-02,2012-12-31,1259,-27.791973552717153,True,2,risk_on,0.9325177001004067,2,risk_on,0.9274181089275064,,0.06748229989959315,8.99009032997903e-104,0.9325177001004067,0.07248874735639137,9.31437161020308e-05,0.9274181089275064
