date,n_components,train_start,train_end,train_observations,log_likelihood,converged,current_regime,current_regime_label,current_regime_probability,next_regime,next_regime_label,next_regime_probability,error,current_prob_regime_0,current_prob_regime_1,current_prob_regime_2,current_prob_regime_3,next_prob_regime_0,next_prob_regime_1,next_prob_regime_2,next_prob_regime_3
2010-12-31,4,2008-01-02,2010-12-31,757,3634.0464614122584,True,1,risk_on,1.0,1,risk_on,0.9967320077867633,,5.596822434787983e-79,1.0,0.0,5.330343583234671e-102,0.0032679922132367407,0.9967320077867633,6.044686801861108e-104,7.186052342457963e-52
2011-01-31,4,2008-01-02,2011-01-31,777,3713.2403877453507,True,3,risk_on,1.0,3,risk_on,0.9970948746414449,,0.0,6.807464529830977e-61,1.0526820160116042e-211,1.0,2.4520470042276218e-138,0.002905125358555214,2.7253733070336153e-63,0.9970948746414449
2011-02-28,4,2008-01-02,2011-02-28,796,3633.1496205242697,True,0,risk_on,0.9999999999427018,0,risk_on,0.9969961763009384,,0.9999999999427018,5.708255401205083e-11,0.0,0.0,0.9969961763009384,0.0030038236986491065,6.403977646837305e-83,1.967757701426006e-13
2011-03-31,4,2008-01-02,2011-03-31,819,4047.6893513228906,True,3,risk_on,1.0,3,risk_on,0.9969395804016455,,9.949601764651293e-24,6.472925949236755e-169,2.0448182663322823e-174,1.0,0.0030604195983544255,8.844606446230204e-44,3.6705717874660075e-26,0.9969395804016455
2011-04-29,4,2008-01-02,2011-04-29,839,3497.957343502359,True,1,risk_on,1.0,1,risk_on,0.9971681840307018,,0.0,1.0,5.805076307791905e-29,2.52306592812521e-146,1.9420235443734108e-56,0.9971681840307018,0.0028318159692982503,1.916690987391766e-31
2011-05-31,4,2008-01-02,2011-05-31,860,3772.5893878622765,True,1,risk_on,1.0,1,risk_on,0.9976640757767752,,5.009125766277234e-232,1.0,1.4696435149932809e-27,0.0,1.4144623257497698e-29,0.9976640757767752,0.002335924223224754,2.828923683572759e-29
2011-06-30,4,2008-01-02,2011-06-30,882,3479.827272457292,True,0,risk_on,0.999999806862907,0,risk_on,0.9928910470862,,0.999999806862907,1.0290035646300555e-132,1.4422653700505655e-196,1.93137203925943e-07,0.9928910470862,8.819836649252813e-10,1.5132408217144525e-134,0.007108952031927242
2011-07-29,4,2008-01-02,2011-07-29,902,3712.7907684150573,True,0,risk_on,1.0,0,risk_on,0.9929053419203715,,1.0,6.566512517125212e-19,1.058032936465815e-212,5.206369733643472e-23,0.9929053419203715,0.002364596607264944,4.863581471508433e-25,0.00473006147236348
2011-08-31,4,2008-01-02,2011-08-31,925,4052.122411250853,True,3,recovery_or_normalization,1.0,3,recovery_or_normalization,0.9933959304823152,,7.585085078878431e-285,5.8028532084306244e-182,3.539706174463266e-53,1.0,1.0180444148359616e-183,0.0033020330215912763,0.0033020364960935577,0.9933959304823152
2011-09-30,4,2008-01-02,2011-09-30,946,3522.801103189313,True,3,defensive_risk_off,1.0,3,defensive_risk_off,0.9795898401479635,,4.433844366269635e-169,3.7749236848810156e-243,3.7339522248231996e-151,1.0,0.02041015985203653,1.135215749992281e-153,4.964349024622868e-117,0.9795898401479635
2011-10-31,4,2008-01-02,2011-10-31,967,3697.818711821853,True,1,recovery_or_normalization,1.0,1,recovery_or_normalization,0.9941387141191187,,2.916860672364768e-26,1.0,8.488809230683605e-160,1.0788899401697937e-118,0.002930663070292289,0.9941387141191187,1.8927893513413633e-120,0.002930622810588955
2011-11-30,4,2008-01-02,2011-11-30,988,3323.8737582403546,True,1,recovery_or_normalization,1.0,1,recovery_or_normalization,0.9945865583914274,,1.542174949469322e-26,1.0,0.0,1.5e-323,0.0027067234758137897,0.9945865583914274,1.810222199536867e-261,0.0027067181327587115
2011-12-30,4,2008-01-02,2011-12-30,1009,3470.700433468004,True,2,recovery_or_normalization,1.0,2,recovery_or_normalization,0.9946834848532283,,1.2675580649032106e-41,6.633736245502553e-31,1.0,4.7743156962157e-61,0.0026582574430498856,0.0026582577037217543,0.9946834848532283,3.2125658122854134e-43
2012-01-31,4,2008-01-02,2012-01-31,1029,2893.907833280985,True,2,risk_on,1.0,2,risk_on,0.9936620011626164,,1.0668092264927756e-192,4.431335152668911e-17,1.0,1.0142823828370624e-122,2.5254471672452054e-108,0.00633799883738364,0.9936620011626164,1.3651098403609332e-19
2012-02-29,4,2008-01-02,2012-02-29,1049,2303.5790768252023,True,0,risk_on,1.0,0,risk_on,0.9845289115153072,,1.0,1.1541153311909755e-21,2.4778998744070964e-227,2.620611376228408e-81,0.9845289115153072,0.015471088484692913,6.718815480418216e-83,2.363188447625969e-24
2012-03-30,4,2008-01-02,2012-03-30,1071,2946.935724318756,True,0,risk_on,1.0,0,risk_on,0.9934533662920376,,1.0,1.9911359200285355e-29,8.145404816823554e-178,0.0,0.9934533662920376,0.006546633707962425,3.8765662158889554e-147,5.414450469321074e-32
2012-04-30,4,2008-01-02,2012-04-30,1091,3049.033374534334,True,1,risk_on,1.0,1,risk_on,0.995584209702683,,2.6786381112650044e-121,1.0,1.4429175023737608e-86,1.1521857865895515e-23,3.654455072159664e-88,0.995584209702683,3.0634153727644297e-26,0.0044157902973169716
2012-05-31,4,2008-01-02,2012-05-31,1113,2433.883845216564,True,0,recovery_or_normalization,1.0,0,recovery_or_normalization,0.9958473124005104,,1.0,3.6452575295686092e-96,2.644658432225149e-68,0.0,0.9958473124005104,0.0020763443622349924,0.0020763432372546647,6.079695437554597e-70
2012-06-29,4,2008-01-02,2012-06-29,1134,2472.9094509414126,True,3,recovery_or_normalization,1.0,3,recovery_or_normalization,0.9899215871095086,,1.8925826183095576e-40,4.241072067708379e-118,9.02735361225538e-44,1.0,0.007558837056321538,2.2020551172928703e-45,0.0025195758341698027,0.9899215871095086
2012-07-31,4,2008-01-02,2012-07-31,1155,2158.1097434532835,True,1,risk_on,1.0,1,risk_on,0.9946954231454248,,3.1797942603080756e-229,1.0,1.1324196450057095e-72,5.629524012857802e-20,2.8947449160641315e-74,0.9946954231454248,1.5901798759223761e-22,0.005304576854575278
2012-08-31,4,2008-01-02,2012-08-31,1178,2226.60211403605,True,0,recovery_or_normalization,1.0,0,recovery_or_normalization,0.9942992440344013,,1.0,2.0338526223482727e-13,1.232019254553561e-64,2.904129653179417e-177,0.9942992440344013,0.005700755965801716,3.479020861280325e-16,3.005025547524198e-66
2012-09-28,4,2008-01-02,2012-09-28,1197,2647.8662068855424,True,3,recovery_or_normalization,1.0,3,recovery_or_normalization,0.997362978958382,,8.171817315014126e-17,7.875917760680535e-61,4.117795522163006e-136,1.0,0.002637021041618056,1.444436791566862e-19,1.993833611388788e-62,0.997362978958382
2012-10-31,4,2008-01-02,2012-10-31,1218,2425.241731589708,True,1,risk_on,1.0,1,risk_on,0.9950103552461298,,5.579665361829615e-23,1.0,4.001237384160356e-208,3.748405903759072e-247,0.004989644753870183,0.9950103552461298,1.5297083438611569e-25,1.1271865846850577e-209
2012-11-30,4,2008-01-02,2012-11-30,1239,1735.8651526000333,True,3,risk_on,1.0,3,risk_on,0.9873963178255075,,4.406677803285736e-19,2.831640715421737e-101,8.431244050253311e-38,1.0,0.011029981398572,2.134387537276005e-39,0.0015737007759204103,0.9873963178255075
2012-12-31,4,2008-01-02,2012-12-31,1259,2038.7649922676476,True,1,risk_on,0.9999967069897698,1,risk_on,0.992062099848893,,3.293010135376091e-06,0.9999967069897698,3.325971455934516e-42,1.052416454608402e-84,0.007937893428827815,0.992062099848893,6.722184222455322e-09,7.636609134936402e-44
2013-01-31,4,2008-01-31,2013-01-31,1260,2191.7979667330587,True,1,risk_on,0.9999994241781517,1,risk_on,0.9923981040150633,,5.758219143550177e-07,0.9999994241781517,4.850876817618644e-46,2.1352168488387195e-91,0.007601894756605192,0.9923981040150633,1.2283973849318904e-09,1.1026895184834164e-47
2013-02-28,4,2008-02-28,2013-02-28,1260,2226.434286415617,True,0,risk_on,0.9999986922179598,0,risk_on,0.9926506059568264,,0.9999986922179598,1.3077818936732864e-06,2.381210434090982e-167,9.809202927377464e-122,0.9926506059568264,0.007349391203813348,2.5814573151290745e-123,2.8392137385130497e-09
2013-03-28,4,2008-03-28,2013-03-28,1260,2029.5278482180065,True,2,recovery_or_normalization,0.9999999999995453,2,recovery_or_normalization,0.9917821551649296,,6.83419953758816e-122,4.384594693545911e-13,0.9999999999995453,0.0,0.0016435200856680847,0.006574324749385955,0.9917821551649296,1.6880698923244766e-123
2013-04-30,4,2008-04-30,2013-04-30,1259,2744.659658879182,True,0,risk_on,0.9999996818124197,0,risk_on,0.9932511280425292,,0.9999996818124197,8.45316761731113e-111,1.512879971113207e-49,3.1818741946310026e-07,0.9932511280425292,3.4001073380718216e-51,7.930668019538463e-10,0.006748871164243215
2013-05-31,4,2008-06-02,2013-05-31,1259,2832.359171346724,True,1,risk_on,1.0,1,risk_on,0.9933352541162606,,7.363491006508032e-14,1.0,2.982613083108609e-29,9.160356786724326e-70,0.006664745883812682,0.9933352541162606,4.198272112682737e-16,4.588810039828454e-31
2013-06-28,4,2008-06-30,2013-06-28,1259,2991.6787037989066,True,3,inflation_rates_shock,0.9999999183223769,3,inflation_rates_shock,0.9921191402148365,,4.843162209006081e-302,8.167778459362532e-08,0.0,0.9999999183223769,0.0019701317923483844,0.005910727992976565,1.4037524877271296e-303,0.9921191402148365
2013-07-31,4,2008-07-31,2013-07-31,1259,2946.9296270119667,True,0,risk_on,1.0,0,risk_on,0.9911245508045865,,1.0,2.709507811001468e-141,4.8768900792349286e-192,2.134389837823536e-62,0.9911245508045865,1.7365622896445076e-64,4.638204296928354e-143,0.008875449195413483
2013-08-30,4,2008-09-02,2013-08-30,1259,3236.1858782723184,True,0,risk_on,1.0,0,risk_on,0.9913073592628392,,1.0,0.0,0.0,2.1923533820948004e-25,0.9913073592628392,0.0,0.0,0.008692640737160705
